feature,importance_mean,importance_std
weather_wind_gusts_10m_mean_ms,0.08417925645004619,0.012237805020533355
weather_wind_speed_100m_cubed_mean,0.05205765197222883,0.014628010300075314
dayofyear_cos,0.026725839654153042,0.007421618715508542
lower_saxony_pressure_msl_hpa,0.02533542720431631,0.004614570745761234
schleswig_holstein_wind_gusts_10m_ms,0.025234210389581593,0.013867041014492765
lower_saxony_wind_speed_100m_ms,0.025205615907907486,0.004778988931356872
month_cos,0.024594562805511734,0.005501044422080273
schleswig_holstein_temperature_2m_c,0.023347604850476437,0.0036320695968864673
north_sea_wind_gusts_10m_ms,0.022656201892955738,0.01219234512099889
hour_cos,0.020728879354216835,0.0031590436276350367
forecast_wind_total_mw,0.020645146850835194,0.0028269932119496673
weather_pressure_msl_mean_hpa,0.020165014927360145,0.005228658694390951
lower_saxony_temperature_2m_c,0.019764339889992367,0.0046080925487834955
dayofyear_sin,0.019675491039048542,0.0019601715887498585
forecast_wind_total_ramp_1h,0.01918578715148297,0.00431088880410925
weather_wind_speed_100m_max_ms,0.018908321180126884,0.004175781565196308
brandenburg_pressure_msl_hpa,0.01868859813971953,0.0022427783820829395
schleswig_holstein_pressure_msl_hpa,0.018517985262654045,0.0023675846416617925
weather_temperature_2m_mean_c,0.01839768954298713,0.009220690182935119
forecast_error_lag_24h,0.018035099587657234,0.002938061931985516
actual_roll_24h_mean,0.0176973326809027,0.003568388845333059
weather_wind_speed_100m_mean_ms,0.01764131235805425,0.003737875363797805
actual_lag_48h,0.017560733397575943,0.0023063342606908974
forecast_wind_onshore_mw,0.016656072048301048,0.002275971366392311
lower_saxony_wind_gusts_10m_ms,0.016303450377150017,0.003609779170589201
month_sin,0.016289956444366413,0.004872651087663708
north_sea_pressure_msl_hpa,0.01592718039385297,0.002594141967573084
dow_sin,0.015530996193939989,0.003720418952499029
actual_roll_168h_mean,0.01547883569516919,0.0011301682860828015
dow_cos,0.015348004600541159,0.001854603718540969
actual_lag_24h,0.015310123986141249,0.0015351563248630613
north_sea_temperature_2m_c,0.015302108346738598,0.0027430513646397453
brandenburg_wind_speed_100m_ms,0.015196013264358044,0.002313371713308234
forecast_error_roll_168h_mean,0.015163905749266798,0.0022813710159123703
hour_sin,0.014762695878744125,0.0018528847711823237
brandenburg_temperature_2m_c,0.014700549823993986,0.005141606657908477
is_weekend,0.014567597007209604,0.002493954710417533
forecast_error_lag_168h,0.014505669051273302,0.003503881748902708
brandenburg_wind_gusts_10m_ms,0.014503319493748924,0.0016407655989746858
forecast_wind_offshore_mw,0.014028648168525913,0.0015775929854029514
brandenburg_wind_direction_100m_sin,0.013906637206673622,0.0028158421093620054
north_sea_wind_direction_100m_cos,0.013789203102615747,0.0031043349129681952
forecast_offshore_share,0.013656268404288725,0.0022714836010982124
forecast_wind_total_ramp_24h,0.012739266353574667,0.0011884606224337232
schleswig_holstein_wind_speed_100m_ms,0.01233109916475686,0.002447865957901591
forecast_error_lag_48h,0.012170860289850018,0.0013712125115804233
brandenburg_wind_direction_100m_cos,0.011988623745062134,0.0014246857173682104
schleswig_holstein_wind_direction_100m_sin,0.01156153953210874,0.0019382645546931264
schleswig_holstein_wind_direction_100m_cos,0.011411191302944313,0.002031717988045621
actual_lag_168h,0.011177844706584106,0.0010843583553256117
lower_saxony_wind_direction_100m_cos,0.010443028062582016,0.0020150008824165047
north_sea_wind_speed_100m_ms,0.010321437889202074,0.0014551879359807492
lower_saxony_wind_direction_100m_sin,0.010110225020484491,0.0019315597600662539
north_sea_wind_direction_100m_sin,0.009869512890211561,0.0012656874945750278
