model,fold,fold_start,fold_end,mae,rmse,bias,skill_vs_smard_mae_pct
persistence_prev_week,1,2025-07-06 23:00:00+00:00,2025-08-05 23:00:00+00:00,7012.442291666667,8524.980606244762,-1425.8485972222222,-460.46345991826854
hour_month_climatology,1,2025-07-06 23:00:00+00:00,2025-08-05 23:00:00+00:00,5590.325606975708,6616.596020314169,526.2372307332087,-346.8019987100143
smard_forecast,1,2025-07-06 23:00:00+00:00,2025-08-05 23:00:00+00:00,1251.1863472222221,1652.862643098961,-411.91434722222226,0.0
xgboost_residual,1,2025-07-06 23:00:00+00:00,2025-08-05 23:00:00+00:00,1357.6237186749245,1804.0320802172414,-896.9428590523931,-8.50691599129143
persistence_prev_week,2,2025-08-05 23:00:00+00:00,2025-09-04 23:00:00+00:00,6687.262652777777,8726.19955319728,987.2516527777781,-608.2590734480431
hour_month_climatology,2,2025-08-05 23:00:00+00:00,2025-09-04 23:00:00+00:00,8202.532378711918,9322.331435719061,6615.814790899531,-768.743802078852
smard_forecast,2,2025-08-05 23:00:00+00:00,2025-09-04 23:00:00+00:00,944.1831249999998,1285.7984403652442,-17.850708333333266,0.0
xgboost_residual,2,2025-08-05 23:00:00+00:00,2025-09-04 23:00:00+00:00,937.1995663706728,1286.2560919554737,-9.19182882707644,0.7396402715126937
persistence_prev_week,3,2025-09-04 23:00:00+00:00,2025-10-04 23:00:00+00:00,13180.778027777777,16602.92566737366,-227.23691666666645,-750.956504697676
hour_month_climatology,3,2025-09-04 23:00:00+00:00,2025-10-04 23:00:00+00:00,9584.481759657387,11822.076009156524,-3396.643144124633,-518.7781237456848
smard_forecast,3,2025-09-04 23:00:00+00:00,2025-10-04 23:00:00+00:00,1548.9367499999998,2182.5319668309303,-132.06394444444453,0.0
xgboost_residual,3,2025-09-04 23:00:00+00:00,2025-10-04 23:00:00+00:00,1362.525175199235,1899.3886119484646,-76.31388925728092,12.034808703503536
persistence_prev_week,4,2025-10-04 23:00:00+00:00,2025-11-03 23:00:00+00:00,16389.237027777777,20142.34896676847,-3256.597388888889,-1176.5883399352283
hour_month_climatology,4,2025-10-04 23:00:00+00:00,2025-11-03 23:00:00+00:00,12747.57753325573,15073.79912801484,-4062.7693929779552,-892.9326675667136
smard_forecast,4,2025-10-04 23:00:00+00:00,2025-11-03 23:00:00+00:00,1283.831013888889,1636.1786006924879,92.23676388888894,0.0
xgboost_residual,4,2025-10-04 23:00:00+00:00,2025-11-03 23:00:00+00:00,1616.263824175119,1995.6526775800335,187.26532963013653,-25.893813647580334
persistence_prev_week,5,2025-11-03 23:00:00+00:00,2025-12-03 23:00:00+00:00,12660.070416666666,15067.541692257088,1179.8803611111107,-826.1163949884368
hour_month_climatology,5,2025-11-03 23:00:00+00:00,2025-12-03 23:00:00+00:00,9408.625774861111,11617.164483971057,5477.950434027778,-588.2649383165025
smard_forecast,5,2025-11-03 23:00:00+00:00,2025-12-03 23:00:00+00:00,1367.0064027777778,1811.0499320257343,-265.59473611111116,0.0
xgboost_residual,5,2025-11-03 23:00:00+00:00,2025-12-03 23:00:00+00:00,1283.3676943212631,1677.4236501871978,410.9577983035926,6.118384543522222
persistence_prev_week,6,2025-12-03 23:00:00+00:00,2026-01-02 23:00:00+00:00,13444.918944444446,16252.8458535213,-1437.2196666666664,-717.1379002718053
hour_month_climatology,6,2025-12-03 23:00:00+00:00,2026-01-02 23:00:00+00:00,10346.563355324075,12433.272535177983,-4875.673512731482,-528.8300502318922
smard_forecast,6,2025-12-03 23:00:00+00:00,2026-01-02 23:00:00+00:00,1645.3671944444443,2118.053045465208,-613.8554166666667,0.0
xgboost_residual,6,2025-12-03 23:00:00+00:00,2026-01-02 23:00:00+00:00,1431.3699065069954,1849.440052005065,-348.67085446387534,13.00605048283491
persistence_prev_week,7,2026-01-02 23:00:00+00:00,2026-02-01 23:00:00+00:00,9290.367222222221,12127.034024770546,1782.0345277777776,-525.2599795495496
hour_month_climatology,7,2026-01-02 23:00:00+00:00,2026-02-01 23:00:00+00:00,6422.1566925366305,8290.759508157573,-1168.8840365537235,-332.22377180468004
smard_forecast,7,2026-01-02 23:00:00+00:00,2026-02-01 23:00:00+00:00,1485.8406944444448,1847.2882386209312,188.30883333333338,0.0
xgboost_residual,7,2026-01-02 23:00:00+00:00,2026-02-01 23:00:00+00:00,1686.658454524888,2110.7721259016453,811.537970723523,-13.515430074792024
persistence_prev_week,8,2026-02-01 23:00:00+00:00,2026-03-03 23:00:00+00:00,11760.926805555557,15053.23461661021,338.1007499999999,-638.2007638353092
hour_month_climatology,8,2026-02-01 23:00:00+00:00,2026-03-03 23:00:00+00:00,10201.302576010381,13016.728725487696,-7244.0517817945865,-540.3074756122712
smard_forecast,8,2026-02-01 23:00:00+00:00,2026-03-03 23:00:00+00:00,1593.188111111111,2062.344062372151,-319.3625833333335,0.0
xgboost_residual,8,2026-02-01 23:00:00+00:00,2026-03-03 23:00:00+00:00,1464.2920206517379,1961.254275221286,-342.1932001591524,8.090450183530388
persistence_prev_week,9,2026-03-03 23:00:00+00:00,2026-04-02 23:00:00+00:00,16386.80536111111,19659.21964047436,848.050666666667,-1057.0500940570873
hour_month_climatology,9,2026-03-03 23:00:00+00:00,2026-04-02 23:00:00+00:00,9472.204343124877,12368.399585578527,-3275.0438822910473,-568.8194974323816
smard_forecast,9,2026-03-03 23:00:00+00:00,2026-04-02 23:00:00+00:00,1416.2572083333332,2026.0321762448848,91.18381944444444,0.0
xgboost_residual,9,2026-03-03 23:00:00+00:00,2026-04-02 23:00:00+00:00,1317.4869861842526,1857.6678822020144,170.35448753582108,6.974031381299338
persistence_prev_week,10,2026-04-02 23:00:00+00:00,2026-05-02 23:00:00+00:00,11298.71036111111,13891.953202987823,1001.9773333333333,-551.0689309474035
hour_month_climatology,10,2026-04-02 23:00:00+00:00,2026-05-02 23:00:00+00:00,7485.829906537654,10020.45938454845,-4158.461387763726,-331.3581921064737
smard_forecast,10,2026-04-02 23:00:00+00:00,2026-05-02 23:00:00+00:00,1735.4092361111109,3399.364382977741,561.3795972222222,0.0
xgboost_residual,10,2026-04-02 23:00:00+00:00,2026-05-02 23:00:00+00:00,1645.7240592474739,3103.0123343081214,554.8361879804863,5.16795548839034
persistence_prev_week,11,2026-05-02 23:00:00+00:00,2026-05-31 22:00:00+00:00,7487.082532374101,9845.060688233978,899.6312517985615,-577.7342634062451
hour_month_climatology,11,2026-05-02 23:00:00+00:00,2026-05-31 22:00:00+00:00,6232.303602303184,7298.28139184004,3658.13697154362,-464.1510792711516
smard_forecast,11,2026-05-02 23:00:00+00:00,2026-05-31 22:00:00+00:00,1104.7224460431655,1530.2444712658537,-379.1983597122303,0.0
xgboost_residual,11,2026-05-02 23:00:00+00:00,2026-05-31 22:00:00+00:00,1166.2392881936753,1610.9184765556843,-447.79483870840414,-5.5685337408366635
